Site Code,Planning Week Date Range (Mon - Sun),Mine/Mill,# PMs Scheduled,# PMs Completed as Scheduled,# Total Maintenance WO Completed,# Scheduled Maintenance WO,# Non-Scheduled Maintenance WO Completed,# Scheduled Maintenance WO Completed,PM Schedule Compliance (By Work Order Count)
HVC,2021-01-25 - 2021-01-31,Mill,508,,1,609,,1,
HVC,2021-02-01 - 2021-02-07,Mill,412,,1,585,,1,
HVC,2021-02-08 - 2021-02-14,Mill,438,,2,599,,2,
HVC,2021-02-15 - 2021-02-21,Mill,317,,2,406,1,1,
HVC,2021-02-22 - 2021-02-28,Mill,396,,2,469,1,2,
HVC,2021-03-01 - 2021-03-07,Mill,408,,2,469,1,2,
HVC,2021-03-08 - 2021-03-14,Mill,444,,1,622,,1,
HVC,2021-03-15 - 2021-03-21,Mill,354,,,472,,,
HVC,2021-03-22 - 2021-03-28,Mill,456,,2,628,,1,
HVC,2021-03-29 - 2021-04-04,Mill,371,,2,514,,1,
HVC,2021-04-05 - 2021-04-11,Mill,351,,1,522,,1,
HVC,2021-04-12 - 2021-04-18,Mill,580,,1,622,,1,
HVC,2021-04-19 - 2021-04-25,Mill,455,,1,580,,1,
HVC,2021-04-26 - 2021-05-02,Mill,390,,2,492,,2,
HVC,2021-05-03 - 2021-05-09,Mill,398,,1,490,,1,
HVC,2021-05-10 - 2021-05-16,Mill,520,,1,591,,1,
HVC,2021-05-17 - 2021-05-23,Mill,459,,1,499,1,1,
HVC,2021-05-24 - 2021-05-30,Mill,439,,1,528,,1,
HVC,2021-05-31 - 2021-06-06,Mill,437,,3,540,,2,
HVC,2021-06-07 - 2021-06-13,Mill,405,1,4,525,,2,0.33%
HVC,2021-06-14 - 2021-06-20,Mill,434,,3,578,1,1,
HVC,2021-06-21 - 2021-06-27,Mill,331,,1,407,,1,
HVC,2021-06-28 - 2021-07-04,Mill,350,,1,452,,1,
HVC,2021-07-05 - 2021-07-11,Mill,351,,2,498,,2,
HVC,2021-07-12 - 2021-07-18,Mill,414,,3,468,,1,
HVC,2021-07-19 - 2021-07-25,Mill,364,1,1,466,,1,0.35%
